total, Cap, Caskade, Sand, Lake, Wood, Cloud, Lost, Night Metro, Day Metro, Snow, Beach, Luncheon, Ruined, Bunnies, Bowsers, Moon
[4364.81, 148.019, 202.477, 333.538, 184.476, 387.623, 96.495, 151.193, 289.667, 303.486, 318.451, 243.316, 430.275, 201.657, 336.469, 263.519, 474.15]
[4176.61, 147.672, 203.579, 356.726, 189.455, 399.987, 96.612, 154.239, 212.527, 300.329, 320.171, 219.589, 431.374, 203.109, 308.988, 246.322, 385.931]
[4190.297, 149.511, 202.67, 334.896, 184.946, 389.043, 124.115, 150.308, 248.724, 300.888, 314.555, 217.742, 428.933, 200.654, 314.343, 257.461, 371.508]
[4312.798, 150.041, 205.619, 338.714, 186.961, 391.224, 95.345, 156.624, 209.654, 309.783, 337.545, 251.685, 425.828, 204.926, 336.161, 288.369, 424.319]
[4271.598, 148.291, 204.063, 323.497, 188.675, 398.023, 103.706, 151.411, 255.362, 299.782, 326.044, 223.224, 487.539, 200.594, 312.55, 289.617, 359.22]
[4290.715, 148.315, 207.437, 342.07, 187.836, 388.806, 123.403, 153.824, 217.185, 297.206, 333.746, 222.454, 435.554, 202.674, 336.002, 341.018, 353.187]
[4179.468, 149.491, 204.995, 334.766, 185.1, 395.537, 94.559, 150.199, 213.051, 304.395, 319.839, 224.527, 449.964, 200.645, 339.781, 262.269, 350.349]
[4492.419, 151.105, 203.015, 328.834, 184.591, 405.977, 104.766, 148.072, 227.482, 306.032, 336.56, 242.298, 462.912, 204.507, 308.944, 268.81, 608.515]
[4313.248, 148.132, 203.073, 334.2, 183.478, 383.035, 113.147, 151.792, 207.7, 303.393, 347.431, 218.747, 441.907, 200.956, 354.419, 258.702, 463.137]
[4277.407, 147.797, 204.587, 333.679, 186.244, 385.202, 100.412, 156.556, 243.013, 297.309, 345.965, 221.964, 444.697, 215.751, 326.156, 259.683, 408.392]
[4218.56, 149.507, 207.773, 320.505, 184.007, 388.396, 95.464, 150.748, 214.476, 326.321, 328.251, 216.797, 438.535, 202.826, 333.859, 258.019, 403.078]
[4170.722, 147.594, 201.751, 327.193, 185.092, 390.097, 117.865, 154.841, 213.9, 304.396, 322.758, 236.835, 430.78, 200.448, 307.846, 257.952, 371.377]
[4166.796, 148.555, 205.865, 337.839, 183.292, 397.434, 92.745, 156.974, 228.69, 297.781, 327.108, 224.368, 452.999, 200.726, 319.071, 242.004, 351.345]
[4321.494, 146.153, 203.025, 327.169, 184.521, 388.041, 102.331, 164.097, 218.051, 306.826, 363.488, 230.912, 474.468, 200.442, 323.097, 240.324, 448.551]
[4252.651, 147.705, 203.254, 325.229, 184.092, 397.665, 106.853, 168.937, 219.186, 312.879, 319.63, 220.03, 432.962, 200.579, 318.473, 266.372, 428.803]
[4269.954, 152.334, 208.505, 330.538, 184.491, 416.252, 105.652, 178.36, 220.665, 300.35, 341.226, 240.443, 451.103, 205.133, 342.509, 225.791, 366.603]
[4251.239, 148.079, 203.069, 331.11, 187.834, 390.539, 105.116, 161.765, 217.523, 299.827, 338.061, 229.955, 481.526, 200.941, 351.332, 244.101, 360.464]
[6381.376, 148.454, 204.633, 330.26, 187.313, 758.839, 600.196, 600.188, 601.081, 600.358, 1141.445, 239.596, 442.617, 202.027, 318.312, 263.244, 342.813]
[4275.357, 151.824, 202.87, 329.109, 189.318, 389.446, 95.578, 160.434, 218.736, 300.194, 327.3, 243.667, 459.522, 199.63, 330.938, 245.982, 430.81]
[4136.284, 149.658, 201.579, 332.64, 184.279, 397.02, 95.9, 147.426, 220.712, 297.458, 327.571, 227.521, 437.834, 204.627, 320.066, 224.143, 367.848]
